

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
049.895  000.144  000.144: require('cmp.types.lsp')
049.936  000.038  000.038: require('cmp.types.vim')
049.938  000.293  000.057: require('cmp.types')
049.995  000.057  000.057: require('cmp.utils.cache')
049.999  000.437  000.088: require('cmp.context')
050.495  000.127  000.127: require('cmp.config.mapping')
050.760  000.170  000.170: require('cmp.config.compare')
050.762  000.265  000.095: require('cmp.config.default')
050.774  000.549  000.157: require('cmp.config')
051.259  000.147  000.147: require('cmp.matcher')
051.264  000.490  000.343: require('cmp.entry')
051.269  001.269  000.230: require('cmp.source')
051.476  000.059  000.059: require('cmp.utils.event')
051.797  000.201  000.201: require('cmp.utils.window')
051.800  000.321  000.121: require('cmp.view.docs_view')
052.164  000.070  000.070: require('cmp.utils.autocmd')
052.173  000.372  000.302: require('cmp.view.custom_entries_view')
052.364  000.189  000.189: require('cmp.view.wildmenu_entries_view')
052.503  000.138  000.138: require('cmp.view.native_entries_view')
052.599  000.094  000.094: require('cmp.view.ghost_text_view')
052.609  001.339  000.166: require('cmp.view')
052.668  004.359  000.353: require('cmp.core')
052.794  000.049  000.049: require('cmp.config.sources')
052.843  000.047  000.047: require('cmp.config.window')
052.886  004.773  000.317: require('cmp')
053.904  000.031  000.031: require('luasnip.session')
054.192  000.285  000.285: require('luasnip.util.util')
054.227  000.033  000.033: require('luasnip.util.types')
054.386  000.072  000.072: require('luasnip.util.ext_opts')
054.388  000.160  000.088: require('luasnip.nodes.util')
054.418  000.028  000.028: require('luasnip.util.events')
054.427  000.713  000.176: require('luasnip.nodes.node')
054.600  000.044  000.044: require('luasnip.util.extend_decorator')
054.606  000.178  000.133: require('luasnip.nodes.insertNode')
054.659  000.052  000.052: require('luasnip.nodes.textNode')
054.753  000.092  000.092: require('luasnip.util.mark')
055.246  000.399  000.399: require('luasnip.util._builtin_vars')
055.373  000.618  000.219: require('luasnip.util.environ')
055.451  000.076  000.076: require('luasnip.util.pattern_tokenizer')
055.500  000.047  000.047: require('luasnip.util.dict')
055.638  000.137  000.137: require('luasnip.session.snippet_collection')
055.686  002.454  000.542: require('luasnip.nodes.snippet')
055.810  000.036  000.036: require('luasnip.loaders._caches')
055.919  000.107  000.107: require('luasnip.util.path')
055.945  000.257  000.113: require('luasnip.loaders')
